Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"B-c0","C0",Boolean,1,R/W,10,,,,,,,,,,"",
"B-c400","GY20",Boolean,1,R/W,10,,,,,,,,,,"",
"B-c401","C401",Boolean,1,R/W,10,,,,,,,,,,"",
"B-c402","C402",Boolean,1,R/W,10,,,,,,,,,,"",
"B-c403","C403",Boolean,1,R/W,10,,,,,,,,,,"",
"B-c404","C404",Boolean,1,R/W,10,,,,,,,,,,"",
"B-c405","C405",Boolean,1,R/W,10,,,,,,,,,,"",
"B-c406","C406",Boolean,1,R/W,10,,,,,,,,,,"",
"B-c407","C407",Boolean,1,R/W,10,,,,,,,,,,"",
"B-c410","C410",Boolean,1,R/W,10,,,,,,,,,,"",
"B-c411","C411",Boolean,1,R/W,10,,,,,,,,,,"",
"B-c412","C412",Boolean,1,R/W,10,,,,,,,,,,"",
"B-c413","C413",Boolean,1,R/W,10,,,,,,,,,,"",
"B-c414","C414",Boolean,1,R/W,10,,,,,,,,,,"",
"B-c415","C415",Boolean,1,R/W,10,,,,,,,,,,"",
"B-c416","C416",Boolean,1,R/W,10,,,,,,,,,,"",
"B-c417","C417",Boolean,1,R/W,10,,,,,,,,,,"",
"B-c420","C420",Boolean,1,R/W,10,,,,,,,,,,"",
"B-c421","C421",Boolean,1,R/W,10,,,,,,,,,,"",
"B-c422","C422",Boolean,1,R/W,10,,,,,,,,,,"",
"B-c423","C423",Boolean,1,R/W,10,,,,,,,,,,"",
"B-c424","C424",Boolean,1,R/W,10,,,,,,,,,,"",
"B-c425","C425",Boolean,1,R/W,10,,,,,,,,,,"",
"B-c426","C426",Boolean,1,R/W,10,,,,,,,,,,"",
"B-c427","C427",Boolean,1,R/W,10,,,,,,,,,,"",
"B-c430","C430",Boolean,1,R/W,10,,,,,,,,,,"",
"B-c431","C431",Boolean,1,R/W,10,,,,,,,,,,"",
"B-c432","C432",Boolean,1,R/W,10,,,,,,,,,,"",
"B-c433","C433",Boolean,1,R/W,10,,,,,,,,,,"",
"B-c434","C434",Boolean,1,R/W,10,,,,,,,,,,"",
"B-c435","C435",Boolean,1,R/W,10,,,,,,,,,,"",
"B-c436","C436",Boolean,1,R/W,10,,,,,,,,,,"",
"B-c437","C437",Boolean,1,R/W,10,,,,,,,,,,"",
"B-c440","C440",Boolean,1,R/W,10,,,,,,,,,,"",
"B-c441","C441",Boolean,1,R/W,10,,,,,,,,,,"",
"B-c442","C442",Boolean,1,R/W,10,,,,,,,,,,"",
"B-c443","C443",Boolean,1,R/W,10,,,,,,,,,,"",
"B-c444","C444",Boolean,1,R/W,10,,,,,,,,,,"",
"B-c445","C445",Boolean,1,R/W,10,,,,,,,,,,"",
"B-c446","C446",Boolean,1,R/W,10,,,,,,,,,,"",
"B-c447","C447",Boolean,1,R/W,10,,,,,,,,,,"",
"B-c450","C450",Boolean,1,R/W,10,,,,,,,,,,"",
"B-c451","C451",Boolean,1,R/W,10,,,,,,,,,,"",
"B-c452","C452",Boolean,1,R/W,10,,,,,,,,,,"",
"B-c453","C453",Boolean,1,R/W,10,,,,,,,,,,"",
"B-c454","C454",Boolean,1,R/W,10,,,,,,,,,,"",
"B-c455","C455",Boolean,1,R/W,10,,,,,,,,,,"",
"B-c456","C456",Boolean,1,R/W,10,,,,,,,,,,"",
"B-c457","C457",Boolean,1,R/W,10,,,,,,,,,,"",
"B-c500","C500",Boolean,1,R/W,10,,,,,,,,,,"",
"B-c501","C501",Boolean,1,R/W,10,,,,,,,,,,"",
"B-c502","C502",Boolean,1,R/W,10,,,,,,,,,,"",
"B-c503","C503",Boolean,1,R/W,10,,,,,,,,,,"",
"B-c504","C504",Boolean,1,R/W,10,,,,,,,,,,"",
"B-c505","C505",Boolean,1,R/W,10,,,,,,,,,,"",
"B-c506","C506",Boolean,1,R/W,10,,,,,,,,,,"",
"B-c507","C507",Boolean,1,R/W,10,,,,,,,,,,"",
"B-c510","C510",Boolean,1,R/W,10,,,,,,,,,,"",
"B-c511","C511",Boolean,1,R/W,10,,,,,,,,,,"",
"B-c512","C512",Boolean,1,R/W,10,,,,,,,,,,"",
"B-c513","C513",Boolean,1,R/W,10,,,,,,,,,,"",
"B-c514","C514",Boolean,1,R/W,10,,,,,,,,,,"",
"B-c515","C515",Boolean,1,R/W,10,,,,,,,,,,"",
"B-c516","C516",Boolean,1,R/W,10,,,,,,,,,,"",
"B-c517","C517",Boolean,1,R/W,10,,,,,,,,,,"",
"B-c520","C520",Boolean,1,R/W,10,,,,,,,,,,"",
"B-c521","C521",Boolean,1,R/W,10,,,,,,,,,,"",
"B-c522","C522",Boolean,1,R/W,10,,,,,,,,,,"",
"B-c523","C523",Boolean,1,R/W,10,,,,,,,,,,"",
"B-c524","C524",Boolean,1,R/W,10,,,,,,,,,,"",
"B-c525","C525",Boolean,1,R/W,10,,,,,,,,,,"",
"B-c526","C526",Boolean,1,R/W,10,,,,,,,,,,"",
"B-c527","C527",Boolean,1,R/W,10,,,,,,,,,,"",
"B-GY20","GY20",Boolean,1,R/W,10,,,,,,,,,,"",
"B-GY21","GY21",Boolean,1,R/W,10,,,,,,,,,,"",
"B-GY22","GY22",Boolean,1,R/W,10,,,,,,,,,,"",
"B-GY23","GY23",Boolean,1,R/W,10,,,,,,,,,,"",
"B-GY24","GY24",Boolean,1,R/W,10,,,,,,,,,,"",
"B-GY25","GY25",Boolean,1,R/W,10,,,,,,,,,,"",
"B-GY26","GY26",Boolean,1,R/W,10,,,,,,,,,,"",
"B-GY27","GY27",Boolean,1,R/W,10,,,,,,,,,,"",
"B-GY30","GY30",Boolean,1,R/W,10,,,,,,,,,,"",
"B-GY31","GY31",Boolean,1,R/W,10,,,,,,,,,,"",
"B-GY32","GY32",Boolean,1,R/W,10,,,,,,,,,,"",
"B-GY33","GY33",Boolean,1,R/W,10,,,,,,,,,,"",
"B-GY34","GY34",Boolean,1,R/W,10,,,,,,,,,,"",
"B-GY35","GY35",Boolean,1,R/W,10,,,,,,,,,,"",
"B-GY36","GY36",Boolean,1,R/W,10,,,,,,,,,,"",
"B-GY37","GY37",Boolean,1,R/W,10,,,,,,,,,,"",
"B-v10000","V10000",Float,1,R/W,10,,,,,,,,,,"",
"B-v10002","V10002",Float,1,R/W,10,,,,,,,,,,"",
"B-v10004","V10004",Float,1,R/W,10,,,,,,,,,,"",
"B-v10006","V10006",Float,1,R/W,10,,,,,,,,,,"",
"B-v10010","V10010",Float,1,R/W,10,,,,,,,,,,"",
"B-v10012","V10012",Float,1,R/W,10,,,,,,,,,,"",
"B-v10014","V10014",Float,1,R/W,10,,,,,,,,,,"",
"B-v10016","V10016",Float,1,R/W,10,,,,,,,,,,"",
"B-v10020","V10020",Float,1,R/W,10,,,,,,,,,,"",
"B-v10022","V10022",Float,1,R/W,10,,,,,,,,,,"",
"B-v10024","V10024",Float,1,R/W,10,,,,,,,,,,"",
"B-v10026","V10026",Float,1,R/W,10,,,,,,,,,,"",
"B-v10030","V10030",Float,1,R/W,10,,,,,,,,,,"",
"B-v10032","V10032",Float,1,R/W,10,,,,,,,,,,"",
"B-v10034","V10034",Float,1,R/W,10,,,,,,,,,,"",
"B-v10036","V10036",Float,1,R/W,10,,,,,,,,,,"",
"B-v10040","V10040",Float,1,R/W,10,,,,,,,,,,"",
"B-v10042","V10042",Float,1,R/W,10,,,,,,,,,,"",
"B-v10044","V10044",Float,1,R/W,10,,,,,,,,,,"",
"B-v10046","V10046",Float,1,R/W,10,,,,,,,,,,"",
"B-v10050","V10050",Float,1,R/W,10,,,,,,,,,,"",
"B-v10052","V10052",Float,1,R/W,10,,,,,,,,,,"",
"B-v10054","V10054",Float,1,R/W,10,,,,,,,,,,"",
"B-v10056","V10056",Float,1,R/W,10,,,,,,,,,,"",
"B-v10060","V10060",Float,1,R/W,10,,,,,,,,,,"",
"B-v10062","V10062",Float,1,R/W,10,,,,,,,,,,"",
