Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"V-c0","C0",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1","C1",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c10","C10",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c100","C100",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1000","C1000",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1001","C1001",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1002","C1002",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1003","C1003",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1004","C1004",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1005","C1005",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1006","C1006",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1007","C1007",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c101","C101",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1010","C1010",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1011","C1011",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1012","C1012",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1013","C1013",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1014","C1014",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1015","C1015",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1016","C1016",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1017","C1017",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c102","C102",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1020","C1020",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1021","C1021",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1022","C1022",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1023","C1023",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1024","C1024",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1025","C1025",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1026","C1026",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1027","C1027",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c103","C103",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1030","C1030",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1031","C1031",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1032","C1032",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1033","C1033",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1034","C1034",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1035","C1035",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1036","C1036",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1037","C1037",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c104","C104",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1040","C1040",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1041","C1041",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1042","C1042",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1043","C1043",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1044","C1044",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1045","C1045",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1046","C1046",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1047","C1047",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c105","C105",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1050","C1050",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1051","C1051",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1052","C1052",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1053","C1053",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1054","C1054",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1055","C1055",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1056","C1056",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1057","C1057",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c106","C106",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1060","C1060",Boolean,1,R/W,10,,,,,,,,,,"",
